Status/Delivery Method,Capacity,Seats Taken,Seats Remaining,CRN,Course Code,Course Name,Credits,Class Days,Class Start Time,Class End Time,Class Location,Exam Days,Exam Start Time,Exam End Time,Exam Location,Instructor,Term Length
off campus,60,52,0,11797,EDE 4942,Integrated Field Exp; Elem. Ed,3,T W,07:00am,04:00pm,Off Campus Site TBA TBA,,,,,"Reynolds, E.",Full Term
on campus,35,15,0,11800,EDF 2005,Intro to Teach Prof,3,W,01:30pm,04:15pm,Merwin Hall 231,,,,,"Fulwider, J.",Full Term
on campus,35,13,0,14761,EDF 2005,Intro to Teach Prof,3,M,01:30pm,04:15pm,Merwin Hall 231,,,,,"Fulwider, J.",Full Term
closed,25,0,0,15128,EDF 2085,Intro to Diversity for Educ,3,,,,Online (Virtual),,,,,"Essary, J.",Full Term
on campus,35,1,0,11802,EDF 2085,Intro to Diversity for Educ,3,T R,12:00pm,01:15pm,Academic Building Nine 111,,,,,"Sanabria, A.",Full Term
on campus,35,33,0,11801,EDF 2085,Intro to Diversity for Educ,3,T R,03:00pm,04:15pm,Academic Building Nine 111,,,,,"Essary, J.",Full Term
closed,35,0,0,14765,EDF 3253,Learning Mgmt Inclusive Class,3,R,04:30pm,07:15pm,Merwin Hall 228,,,,,"Fulwider, J.",Full Term
closed,25,0,0,11806,EDF 3253,Learning Mgmt Inclusive Class,3,,,,Online (Virtual),,,,,"Vasquez, S.",Full Term
closed,25,0,0,12777,EDF 3253,Learning Mgmt Inclusive Class,3,,,,Online (Virtual),,,,,"Vasquez, S.",Full Term
distance learning,25,24,0,16288,EDF 3253,Learning Mgmt Inclusive Class,3,,,,Online (Virtual),,,,,"Humphries, C.",Full Term
closed,25,0,0,16249,EDF 3253,Learning Mgmt Inclusive Class,3,,,,Online (Virtual),,,,,"Humphries, C.",Full Term
on campus,35,8,0,12318,EDF 4112,Child Growth and Development,3,M,01:30pm,04:15pm,Whitaker Hall 129,,,,,"Schofield, L.",Full Term
closed,25,0,0,11808,EDF 4112,Child Growth and Development,3,M,01:30pm,04:15pm,Whitaker Hall 129,,,,,"Schofield, L.",Full Term
distance learning,25,7,0,12768,EDF 4424,Youth Focused Evaluation,3,M,04:30pm,07:15pm,Online (Virtual),,,,,"Reynolds, E.",Full Term
on campus,35,19,0,10235,EDF 4470,Classroom Assessment,3,M,04:30pm,07:15pm,Merwin Hall 212,,,,,"Atha, M.",Full Term
on campus,35,10,0,10234,EDF 4470,Classroom Assessment,3,M,04:30pm,07:15pm,Merwin Hall 212,,,,,"Atha, M.",Full Term
distance learning,25,10,0,14922,EDF 4650,Youth & Community Resilience,3,,,,Online (Virtual),,,,,STAFF,Full Term
distance learning,25,17,0,14923,EDF 4731,Youth & Community Leadership,3,,,,Online (Virtual),,,,,"Staples, C.",Full Term
distance learning,25,11,0,15825,EDF 6432,Foundation of Measurement,3,,,,Online (Virtual),,,,,"Atha, M.",Session I (7 weeks)
distance learning,25,16,0,10238,EDF 6432,Foundation of Measurement,3,,,,Online (Virtual),,,,,"Wilkerson, J.",Session I (7 weeks)
distance learning,25,21,0,13592,EDF 6481,Foundations of Ed Research,3,,,,Online (Virtual),,,,,"Wilkerson, J.",Session II (7 weeks)
distance learning,25,16,0,14790,EDF 6808,Global Context in Higher Ed,3,,,,Online (Virtual),,,,,"Desmore, K.",Session II (7 weeks)
on campus,20,12,0,16187,EDF 7416,Quantitative Analysis,3,R,05:30pm,08:15pm,Griffin Hall 111,,,,,"Ozfidan, B.",Full Term
on campus,20,11,0,16188,EDF 7483,Mixed Methods Analysis,3,M,05:30pm,08:15pm,Merwin Hall 107,,,,,"Lakhani, H.",Full Term
on campus,5,4,0,16291,EDF 7889,Multilingual Education,3,R,05:30pm,08:15pm,Merwin Hall 203,,,,,"Giambo, D.",Full Term
closed,35,0,0,11817,EDG 3323,Professional Teaching Practice,3,R,01:30pm,04:15pm,Merwin Hall 212,,,,,"Byrne-Knell, T.",Full Term
on campus,35,14,0,11816,EDG 3323,Professional Teaching Practice,3,M,04:30pm,07:15pm,Merwin Hall 231,,,,,"Byrne-Knell, T.",Full Term
distance learning,25,13,0,15067,EDG 4077,Informal Learning Environments,3,,,,Online (Virtual),,,,,"Ndiangui, P.",Full Term
on campus,35,19,0,11818,EDG 4371,Creative & Affective Develpmnt,3,F,01:30pm,04:15pm,Merwin Hall 228,,,,,"Schofield, L.",Full Term
distance learning,25,1,0,11812,EDG 4936,Seminar: Child/Youth Studies,3,R,04:30pm,07:15pm,Online (Virtual),,,,,"Ndiangui, P.",Full Term
distance learning,25,14,0,11813,EDG 4937,Sr Seminar-Initial Teach Prep,3,,,,Online (Virtual),,,,,"Shaffer, J.",Full Term
on campus,35,11,0,11819,EDG 4940,Practicum: Child/Youth Studies,9,,,,Off Campus Site TBA TBA,,,,,STAFF,Full Term
on campus,35,24,0,12159,EDG 4942,Field Experience:CYS,3,,,,Off Campus Site TBA TBA,,,,,"Reynolds, E.",Full Term
distance learning,25,22,0,11814,EDG 5944,TIP Practicum,3,,,,Online (Virtual),,,,,"Martelli, C.",Full Term
distance learning,25,14,0,16246,EDG 6326,"Learning, Account & Assess",3,R,05:30pm,08:15pm,Online (Virtual),,,,,"Restino, J.",Full Term
closed,25,0,0,10216,EDG 6326,"Learning, Account & Assess",3,R,05:30pm,08:15pm,Online (Virtual),,,,,"Castellani, B.",Full Term
distance learning,25,16,0,14794,EDG 6326,"Learning, Account & Assess",3,,,,Online (Virtual),,,,,"Castellani, B.",Session I (7 weeks)
distance learning,25,13,0,14795,EDG 6326,"Learning, Account & Assess",3,,,,Online (Virtual),,,,,"Clark, A.",Session II (7 weeks)
distance learning,25,24,0,16008,EDG 6326,"Learning, Account & Assess",3,,,,Online (Virtual),,,,,"Alchin, D.",Session II (7 weeks)
distance learning,25,6,0,14323,EDG 6329,Reflective Practitioner,3,,,,Online (Virtual),,,,,"Johnston, V.",Session I (7 weeks)
distance learning,25,15,0,16009,EDG 6339,Breakthrough Thinking for Sust,3,,,,Online (Virtual),,,,,"Bixler, K.",Session II (7 weeks)
distance learning,25,5,0,14767,EDG 6356,Inst Models and Strategies,3,,,,Online (Virtual),,,,,"Ghelman, A.",Session I (7 weeks)
on campus,3,1,0,16200,EDG 6356,Inst Models and Strategies,3,W,05:30pm,08:15pm,Merwin Hall 120,,,,,STAFF,Full Term
distance learning,25,8,0,14768,EDG 6356,Inst Models and Strategies,3,,,,Online (Virtual),,,,,STAFF,Session II (7 weeks)
distance learning,25,9,0,13595,EDG 6363,Capstone Seminar,3,,,,Online (Virtual),,,,,"Dogutas, A.",Session II (7 weeks)
distance learning,25,22,0,16016,EDG 6627,Found. of Curriculum & Instr.,3,M,05:30pm,08:15pm,Online (Virtual),,,,,STAFF,Full Term
distance learning,25,22,0,16015,EDG 6627,Found. of Curriculum & Instr.,3,,,,Online (Virtual),,,,,STAFF,Session II (7 weeks)
distance learning,25,11,0,13593,EDG 6627,Found. of Curriculum & Instr.,3,,,,Online (Virtual),,,,,"Ghelman, A.",Session II (7 weeks)
distance learning,3,2,0,16183,EDG 7325,Multiple Pedagogies,3,W,05:30pm,08:15pm,Online (Virtual),,,,,"Martelli, C.",Full Term
on campus,15,12,0,16290,EDG 7707,Diversity & Global Stud in Ed,3,R,05:30pm,08:15pm,Merwin Hall 203,,,,,"Giambo, D.",Full Term
off campus,10,9,0,16195,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Stork, M.",Full Term
off campus,10,6,0,16196,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Wang, X.",Full Term
off campus,10,9,0,16198,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Wilkerson, J.",Full Term
off campus,10,9,0,10226,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Atha, M.",Full Term
off campus,10,5,0,14983,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Sughrue, J.",Full Term
off campus,10,4,0,14953,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Sughrue, J.",Full Term
off campus,10,6,0,14026,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Sughrue, J.",Full Term
off campus,10,9,0,14025,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Szecsi, T.",Full Term
off campus,10,10,0,14993,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Szecsi, T.",Full Term
off campus,10,8,0,14947,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Sughrue, J.",Full Term
off campus,10,6,0,16194,EDG 7980,Dissertation,1,,,,Off Campus Site TBA TBA,,,,,"Houdyshell, M.",Full Term
distance learning,25,17,0,14791,EDH 6045,Student Development Theory,3,,,,Online (Virtual),,,,,"Houdyshell, M.",Session II (7 weeks)
on campus,25,17,0,14049,EDH 6045,Student Development Theory,3,W,05:30pm,08:15pm,Merwin Hall 205,,,,,"Houdyshell, M.",Full Term
distance learning,25,10,0,14925,EDH 6405,Law & Policy-Higher Ed,3,,,,Online (Virtual),,,,,"Alexander, F.",Session I (7 weeks)
distance learning,25,10,0,14926,EDH 6505,Finance in Higher Ed,3,,,,Online (Virtual),,,,,"Desmore, K.",Session I (7 weeks)
distance learning,25,18,0,14100,EDH 6635,Org Structure- Higher Ed,3,R,05:30pm,08:15pm,Online (Virtual),,,,,"Desmore, K.",Full Term
closed,3,0,0,16185,EDH 7367,Contemporary Stud Svces,3,T,05:30pm,08:15pm,Online (Virtual),,,,,"Houdyshell, M.",Full Term
on campus,20,14,0,16190,EDH 7935,Contemporary Issues in HE,3,W,05:30pm,08:15pm,Merwin Hall 212,,,,,"Alexander, F.",Full Term
distance learning,25,24,0,16297,EDS 6050,Human Resources Development,3,T,05:30pm,08:15pm,Online (Virtual),,,,,"Kinsley, S.",Full Term
closed,25,0,0,16000,EDS 6050,Human Resources Development,3,T,05:30pm,08:15pm,Online (Virtual),,,,,"McElroy, A.",Full Term
closed,25,0,0,14101,EDS 6050,Human Resources Development,3,T,05:30pm,08:15pm,Online (Virtual),,,,,"McElroy, A.",Full Term
on campus,35,16,0,11821,EEC 3268,Play Development & Assessment,3,M,01:30pm,04:15pm,Merwin Hall 212,,,,,"Essary, J.",Full Term
distance learning,25,6,0,16169,EEC 4404,Family & Comm Partnerships,3,,,,Online (Virtual),,,,,"Izci, B.",Full Term
off campus,15,10,0,11822,EEC 4940,Internship:  Early Childhood,9,,,,Off Campus Site TBA TBA,,,,,"Fry, M.",Full Term
off campus,5,5,0,11830,EEC 4942,Integrated Field Exp. - EC,3,T W,07:00am,04:00pm,Off Campus Site TBA TBA,,,,,"Reynolds, E.",Full Term
on campus,30,13,0,13684,EES 4102C,Wastewater Microbiology,3,T R,10:30am,12:45pm,Holmes Engineering 230,T R,10:30am,12:45pm,Holmes Engineering 225,"Redfern, L.",Full Term
distance learning,25,10,0,15814,EEX 4050,Theories & Prac in Spec Educ,3,,,,Online (Virtual),,,,,"Gallegos, B.",Full Term
distance learning,25,8,0,11837,EEX 4070,Integrat Except Stud in Gen Ed,3,,,,Online (Virtual),,,,,"Kratt, D.",Full Term
distance learning,25,21,0,11831,EEX 4201,Young Children with Spec Needs,3,,,,Online (Virtual),,,,,"Gallegos, B.",Full Term
distance learning,25,20,0,14788,EEX 4221,Educ Assess ofExceptional Stud,3,,,,Online (Virtual),,,,,"Robinson, J.",Full Term
on campus,20,14,0,11832,EEX 4254,Tching Students w/Mild-Mod Dis,3,T,04:30pm,07:15pm,Merwin Hall 127,,,,,"Gallegos, B.",Full Term
on campus,20,13,0,15802,EEX 4604,BehavMgmt SpecNeed/AtRisk Stud,3,T R,10:30am,11:45am,Merwin Hall 203,,,,,"Robinson, J.",Full Term
off campus,15,15,0,11834,EEX 4940,Internship:  Special Ed,9,,,,Off Campus Site TBA TBA,,,,,"Fry, M.",Full Term
off campus,20,17,0,11835,EEX 4942,Integr Field Exper in Spec Ed,3,T W,07:00am,04:00pm,Off Campus Site TBA TBA,,,,,"Reynolds, E.",Full Term
distance learning,25,19,0,15820,EEX 5752,Work w/Fam: Pluralistic Persp,3,,,,Online (Virtual),,,,,"Gallegos, B.",Session II (7 weeks)
distance learning,25,19,0,13582,EEX 6025,Foundations of Special Educ,3,,,,Online (Virtual),,,,,"Gischel, C.",Session I (7 weeks)
distance learning,25,25,0,16281,EEX 6025,Foundations of Special Educ,3,,,,Online (Virtual),,,,,"Gischel, C.",Session II (7 weeks)
distance learning,25,12,0,14775,EEX 6222,AdvPsychoEd Assess-Excep Stud,3,,,,Online (Virtual),,,,,"Schwab, L.",Session I (7 weeks)
distance learning,25,10,0,15822,EEX 6245,TransProg-Adol&Young ExepStu,3,,,,Online (Virtual),,,,,"Applin, J.",Session II (7 weeks)
distance learning,25,9,0,13580,EEX 6612,Mgmt &Motiv Excep &at-RiskStud,3,,,,Online (Virtual),,,,,"Applin, J.",Session I (7 weeks)
distance learning,25,21,0,13585,EEX 6939,"AdvSem: Paradigms,Prac & Pol",3,,,,Online (Virtual),,,,,"Gischel, C.",Session II (7 weeks)
on campus,40,4,0,10366,EGM 3420C,Engineering Mechanics,4,M W F,07:30am,09:10am,Holmes Engineering 230,M W F,07:30am,09:10am,Holmes Engineering 225,STAFF,Full Term
closed,40,0,0,10367,EGM 3420C,Engineering Mechanics,4,M W F,09:30am,11:10am,Holmes Engineering 225,M W F,09:30am,11:10am,Holmes Engineering 230,STAFF,Full Term
on campus,35,8,0,10364,EGN 1041C,Computational Tools for Eng,2,T R,12:00pm,01:15pm,Holmes Engineering 202,R,10:00am,12:15pm,Holmes Engineering 202,"Karatum, O.",Full Term
on campus,35,11,0,10365,EGN 1041C,Computational Tools for Eng,2,T R,01:30pm,02:45pm,Holmes Engineering 202,T,12:30pm,02:45pm,Holmes Engineering 202,"Komisar, S.",Full Term
closed,25,0,0,14473,EGN 2111C,Engineering Computer Graphics,3,M,05:30pm,09:15pm,Seidler Hall 127,F,05:45pm,08:00pm,Seidler Hall 127,"Al Suleh, M.",Full Term
on campus,25,10,0,10374,EGN 2111C,Engineering Computer Graphics,3,T R,06:00pm,08:15pm,Seidler Hall 127,T,05:45pm,08:00pm,Seidler Hall 127,"Al Suleh, M.",Full Term
on campus,30,7,0,14464,EGN 3060C,Intro to Mechatronic Design,3,M W,01:00pm,03:15pm,Holmes Engineering 339,F,12:30pm,02:45pm,Holmes Engineering 339,"Torres, J.",Full Term
closed,48,0,0,10370,EGN 3331C,Mechanics of Materials,3,T R,01:00pm,03:15pm,Holmes Engineering 147,T R,01:00pm,03:15pm,Holmes Engineering 142,"Badir, A.",Full Term
on campus,40,22,10,10403,EGN 3343C,Thermodynamics,3,M W F,11:30am,12:55pm,Holmes Engineering 439,M W F,11:30am,12:55pm,Holmes Engineering 434,"Redfern, L.",Full Term
on campus,44,4,0,10375,EGN 3433C,Design for Manufacturing,3,M W F,01:30pm,02:55pm,Holmes Engineering 202,W,12:30pm,02:45pm,Holmes Engineering 202,"Lura, D.",Full Term
off campus,5,5,0,16260,EGN 4900,Directed Engineering Research,3,TBA,,,,,,,,STAFF,Full Term
off campus,5,5,0,16261,EGN 4900,Directed Engineering Research,3,TBA,,,,,,,,STAFF,Full Term
off campus,6,6,0,15259,EGN 4900,Directed Engineering Research,3,,,,Off Campus Site TBA TBA,,,,,STAFF,Full Term
off campus,4,1,0,16272,EGN 4908,Engineering Independent Study,3,,,,Off Campus Site TBA TBA,,,,,"Sypabekova, M.",Full Term
on campus,15,1,0,15844,EGN 4930,ST:Env Data Science,3,T R,04:30pm,05:45pm,Holmes Engineering 439,T,03:00pm,05:15pm,Holmes Engineering 439,"Elshall, A.",Full Term
on campus,25,17,0,15846,EGN 4930,ST:Land Development,3,T R,04:30pm,05:45pm,Holmes Engineering 302,T,03:00pm,05:15pm,Holmes Engineering 302,"Al Suleh, M.",Full Term
off campus,15,10,0,14190,EGN 4940,Engineering Internship,3,,,,Off Campus Site TBA TBA,,,,,"Tsegaye, S.",Full Term
on campus,10,9,0,15843,EGN 5932C,ST:Env Data Science,3,T R,04:30pm,05:45pm,Holmes Engineering 439,T,03:00pm,05:15pm,Holmes Engineering 439,"Elshall, A.",Full Term
distance learning,10,5,0,15845,EGN 6430,Advanced Engineering Analysis,3,,,,Online (Virtual),,,,,"Elshall, A.",Full Term
distance learning,10,4,0,14468,EGN 6941,Project,3,,,,Online (Virtual),,,,,"Elshall, A.",Full Term
on campus,40,3,0,10372,EGS 1006L,Intro to the Engineering Prof.,1,M,03:30pm,05:10pm,Holmes Engineering 230,F,08:15pm,10:30pm,Holmes Engineering 224,"Liao, J.",Full Term
on campus,40,9,0,12523,EGS 1006L,Intro to the Engineering Prof.,1,M,03:30pm,05:10pm,Holmes Engineering 439,F,08:15pm,10:30pm,Holmes Engineering 224,"Redfern, L.",Full Term
on campus,35,3,0,10213,EME 2040,Intro to Tech for Educ,3,T R,09:00am,10:15am,Griffin Hall 213,,,,,"Turcotte, N.",Full Term
on campus,35,15,0,15975,EME 2040,Intro to Tech for Educ,3,T R,12:00pm,01:15pm,Marieb Hall 214,,,,,"Turcotte, N.",Full Term
distance learning,25,19,0,15819,EME 5053,Foundations of Learning Tech,3,,,,Online (Virtual),,,,,"Turcotte, N.",Session B
distance learning,3,1,0,15821,EME 6207,Educational Web Design,3,,,,Online (Virtual),,,,,"Kenny, R.",Session B
distance learning,25,18,0,15823,EME 6408,Universal Design for Learning,3,,,,Online (Virtual),,,,,"Stork, M.",Session B
distance learning,25,15,0,15824,EME 6417,Teaching in Virtual Settings,3,,,,Online (Virtual),,,,,"Stork, M.",Session A
distance learning,25,22,0,15826,EME 6465,Interactive Learning,3,,,,Online (Virtual),,,,,"Rizzuto, M.",Session B
distance learning,25,18,0,15827,EME 6606,Foundations of ID,3,,,,Online (Virtual),,,,,"Stork, M.",Session A
distance learning,25,21,0,15828,EME 6607,Instructional Program Analysis,3,,,,Online (Virtual),,,,,"Rizzuto, M.",Session A
distance learning,25,19,0,15829,EME 6646,Digital Narrative & Cognition,3,,,,Online (Virtual),,,,,"Kenny, R.",Session A
off campus,25,20,0,10230,EME 6940,Design Experience,3,,,,Online (Virtual),,,,,STAFF,Session B
distance learning,3,3,0,16184,EME 7465L,Design Tools For Learning,3,R,05:30pm,08:15pm,Online (Virtual),,,,,"Kenny, R.",Full Term
off campus,3,3,0,16189,EME 7941,Design Studio Practicum,3,,,,Off Campus Site TBA TBA,,,,,"Kenny, R.",Full Term
on campus,23,6,5,14538,ENC 1101,Composition I,3,T R,03:00pm,04:15pm,Merwin Hall 203,,,,,"Kelly, S.",Full Term
on campus,25,18,5,14314,ENC 1101,Composition I,3,M W F,11:30am,12:20pm,Seidler Hall 116,,,,,"Cardillo, K.",Full Term
distance learning,25,10,5,14315,ENC 1101,Composition I,3,,,,Online (Virtual),,,,,"Vallier, E.",Full Term
distance learning,15,11,0,15267,ENC 1101,Composition I,3,,,,Online (Virtual),,,,,"Vallier, E.",Session B
on campus,25,15,5,10546,ENC 1101,Composition I,3,M W F,10:30am,11:20am,Seidler Hall 116,,,,,"Cardillo, K.",Full Term
distance learning,25,12,5,15831,ENC 1101,Composition I,3,,,,Online (Virtual),,,,,"Hirth, B.",Full Term
on campus,25,12,5,10551,ENC 1101,Composition I,3,T R,10:30am,11:45am,University Library Classroom 445,,,,,"Kelly, S.",Full Term
on campus,25,12,5,10552,ENC 1101,Composition I,3,T R,12:00pm,01:15pm,Seidler Hall 116,,,,,"Kelly, S.",Full Term
on campus,25,17,5,10555,ENC 1101,Composition I,3,M W F,09:30am,10:20am,Seidler Hall 116,,,,,"Cardillo, K.",Full Term
on campus,25,23,5,15538,ENC 1101,Composition I,3,M W F,07:30am,08:20am,Merwin Hall 102,,,,,"Bishop, L.",Full Term
on campus,25,13,5,10547,ENC 1101,Composition I,3,M W F,12:30pm,01:20pm,Griffin Hall 205,,,,,"Jeannot, C.",Full Term
on campus,25,19,5,13388,ENC 1102,Composition II,3,M W F,07:30am,08:20am,Merwin Hall 103,,,,,"Keesler, S.",Full Term
on campus,25,17,5,13389,ENC 1102,Composition II,3,T R,12:00pm,01:15pm,Griffin Hall 215,,,,,"Allen, K.",Full Term
on campus,25,16,5,13390,ENC 1102,Composition II,3,T R,04:30pm,05:45pm,Seidler Hall 116,,,,,"Josue, J.",Full Term
closed,25,0,5,15545,ENC 1102,Composition II,3,T R,09:00am,10:15am,Griffin Hall 205,,,,,"Humann, H.",Full Term
on campus,25,16,5,15546,ENC 1102,Composition II,3,T R,09:00am,10:15am,Osprey Hall 2001,,,,,"Norcia, M.",Full Term
closed,25,0,5,15548,ENC 1102,Composition II,3,R,10:30am,11:45am,Merwin Hall 112,,,,,"Mattoni, S.",Full Term
closed,25,0,0,15540,ENC 1102,Composition II,3,W,10:30am,11:20am,Merwin Hall 121,,,,,"Tullo, K.",Full Term
on campus,25,1,5,15541,ENC 1102,Composition II,3,F,10:30am,11:20am,Merwin Hall 121,,,,,"Weatherford, E.",Full Term
closed,25,0,5,14521,ENC 1102,Composition II,3,M W F,11:30am,12:20pm,Griffin Hall 205,,,,,"Jeannot, C.",Full Term
closed,25,0,5,14537,ENC 1102,Composition II,3,T R,10:30am,11:45am,Whitaker Hall 131,,,,,"Wright, B.",Full Term
closed,25,0,0,12786,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Mattoni, S.",Full Term
on campus,25,12,5,12813,ENC 1102,Composition II,3,T R,09:00am,10:15am,Merwin Hall 116,,,,,"Allen, K.",Full Term
on campus,25,5,5,12818,ENC 1102,Composition II,3,M W F,10:30am,11:20am,Merwin Hall 111,,,,,"Allen, K.",Full Term
on campus,25,21,5,12823,ENC 1102,Composition II,3,M W F,01:30pm,02:20pm,Merwin Hall 111,,,,,"Allen, K.",Full Term
on campus,25,2,5,12825,ENC 1102,Composition II,3,T R,01:30pm,02:45pm,University Library Classroom 467,,,,,"Griffin, J.",Full Term
closed,25,0,5,14572,ENC 1102,Composition II,3,M W F,01:30pm,02:20pm,University Library Classroom 464,,,,,"Cardillo, K.",Full Term
on campus,25,1,5,14577,ENC 1102,Composition II,3,T R,10:30am,11:45am,Griffin Hall 205,,,,,"Humann, H.",Full Term
closed,25,0,1,12420,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Jeannot, C.",Full Term
closed,25,0,5,10575,ENC 1102,Composition II,3,M W F,11:30am,12:20pm,Merwin Hall 111,,,,,"Bishop, L.",Full Term
on campus,25,16,5,10578,ENC 1102,Composition II,3,M W F,12:30pm,01:20pm,Merwin Hall 103,,,,,"Allen, K.",Full Term
on campus,25,17,5,10580,ENC 1102,Composition II,3,M W F,12:30pm,01:20pm,Merwin Hall 112,,,,,"Gonzalez, G.",Full Term
closed,25,0,5,10582,ENC 1102,Composition II,3,M W F,01:30pm,02:20pm,Seidler Hall 116,,,,,"Tullo, K.",Full Term
closed,25,0,5,10595,ENC 1102,Composition II,3,T R,10:30am,11:45am,Seidler Hall 116,,,,,"Szczesny, P.",Full Term
closed,25,0,0,10596,ENC 1102,HNRS:Composition II,3,T R,01:30pm,02:45pm,Griffin Hall 114,,,,,"Mattoni, S.",Full Term
closed,25,0,3,10597,ENC 1102,Composition II,3,T R,10:30am,11:45am,University Library Classroom 443,,,,,"Cornelius, L.",Full Term
closed,25,0,5,10601,ENC 1102,Composition II,3,T R,12:00pm,01:15pm,Merwin Hall 116,,,,,"Niner, P.",Full Term
on campus,25,10,5,10604,ENC 1102,Composition II,3,T R,12:00pm,01:15pm,University Library Classroom 445,,,,,"Dieppa, A.",Full Term
closed,25,0,1,10605,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Griffin, C.",Full Term
closed,23,0,4,10606,ENC 1102,Composition II,3,T R,01:30pm,02:45pm,Merwin Hall 203,,,,,"Wright, B.",Full Term
on campus,25,5,5,10610,ENC 1102,Composition II,3,T R,03:00pm,04:15pm,Griffin Hall 114,,,,,"Dieppa, A.",Full Term
on campus,25,11,5,10614,ENC 1102,Composition II,3,T,05:30pm,08:15pm,Merwin Hall 102,,,,,"Elmeer, S.",Full Term
on campus,25,16,5,14607,ENC 1102,Composition II,3,M W F,08:30am,09:20am,Griffin Hall 109,,,,,"Keesler, S.",Full Term
closed,25,0,5,14609,ENC 1102,Composition II,3,M,10:30am,11:20am,Merwin Hall 121,,,,,"Taylor, A.",Full Term
on campus,25,2,5,14612,ENC 1102,Composition II,3,M W F,12:30pm,01:20pm,Seidler Hall 116,,,,,"Medvesky, A.",Full Term
on campus,25,5,5,10566,ENC 1102,Composition II,3,M W F,09:30am,10:20am,Merwin Hall 112,,,,,"Allen, K.",Full Term
closed,25,0,5,10567,ENC 1102,Composition II,3,T R,09:00am,10:15am,Whitaker Hall 131,,,,,"Szczesny, P.",Full Term
closed,25,0,5,10568,ENC 1102,Composition II,3,M W F,09:30am,10:20am,Griffin Hall 205,,,,,"Jeannot, C.",Full Term
closed,25,0,5,10569,ENC 1102,Composition II,3,T R,01:30pm,02:45pm,Merwin Hall 218,,,,,"Josue, J.",Full Term
on campus,25,8,5,10574,ENC 1102,Composition II,3,M W F,11:30am,12:20pm,Merwin Hall 219,,,,,"Krizek, E.",Full Term
closed,25,0,2,15838,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Humann, H.",Full Term
closed,25,0,1,15839,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Bergel, J.",Full Term
on campus,23,16,5,15836,ENC 1102,Composition II,3,T R,09:00am,10:15am,Reed Hall 237,,,,,STAFF,Full Term
closed,25,0,5,15906,ENC 1102,Composition II,3,T R,12:00pm,01:15pm,University Library Classroom 464,,,,,"Griffin, J.",Full Term
on campus,25,14,0,15643,ENC 1102,HNRS:Composition II,3,M W F,11:30am,12:20pm,Merwin Hall 107,,,,,"Tullo, K.",Full Term
on campus,25,15,5,15562,ENC 1102,Composition II,3,T R,03:00pm,04:15pm,University Library Classroom 410,,,,,"Josue, J.",Full Term
closed,25,0,4,15676,ENC 1102,Composition II,3,M W F,09:30am,10:20am,Merwin Hall 102,,,,,"Taylor, A.",Full Term
closed,25,0,5,15807,ENC 1102,Composition II,3,T,10:30am,11:45am,Merwin Hall 112,,,,,"Mattoni, S.",Full Term
on campus,25,12,5,15947,ENC 1102,Composition II,3,M W F,08:30am,09:20am,Merwin Hall 102,,,,,"Bishop, L.",Full Term
distance learning,25,18,5,15681,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Towne, A.",Full Term
closed,25,0,0,15682,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Kolman, C.",Full Term
closed,25,0,5,16032,ENC 1102,Composition II,3,T R,04:30pm,05:45pm,Merwin Hall 121,,,,,"Argueta, R.",Full Term
closed,25,0,0,16033,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Leiderman, S.",Full Term
distance learning,25,16,5,16034,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Towne, A.",Full Term
closed,25,0,4,16035,ENC 1102,Composition II,3,,,,Online (Virtual),,,,,"Weatherford, E.",Full Term
on campus,25,21,5,15837,ENC 1102,Composition II,3,T R,04:30pm,05:45pm,University Library Classroom 467,,,,,STAFF,Full Term
on campus,25,1,5,15552,ENC 1102,Composition II,3,T R,12:00pm,01:15pm,Whitaker Hall 101,,,,,"Josue, J.",Full Term
closed,25,0,5,15555,ENC 1102,Composition II,3,T R,01:30pm,02:45pm,Merwin Hall 125,,,,,"Niner, P.",Full Term
on campus,21,7,5,15677,ENC 1102,Composition II,3,M W F,10:30am,11:20am,Merwin Hall 105,,,,,"Gonzalez, G.",Full Term
closed,25,0,5,15678,ENC 1102,Composition II,3,M W F,11:30am,12:20pm,Merwin Hall 121,,,,,"Medvesky, A.",Full Term
